"","Origin","bus_score"
"1","admiralty",5.66296048013595
"2","aljunied",29.4056189291517
"3","angmokio",24.745291690712
"4","baharjunction",16.9655763517721
"5","bartley",45.4301346481205
"6","bayfront",57.6100193284594
"7","bayshore",9.40096073158483
"8","beautyworld",13.3692234553359
"9","bedok",13.2366915630444
"10","bedoknorth",8.87738195465477
"11","bedokreservoir",11.3648893861428
"12","bedoksouth",8.57168137670031
"13","bencoolen",144.307180756939
"14","bendemeer",68.013333855181
"15","bishan",38.7907854562598
"16","boonkeng",87.3648344687081
"17","boonlay",38.0181283472172
"18","botanicgardens",62.3866317905345
"19","braddell",35.0262123215024
"20","brasbasah",148.061339576876
"21","brighthill",13.0613386755666
"22","buangkok",14.583765211011
"23","bugis",368.445376573302
"24","bukitbatok",13.5437648248108
"25","bukitbatokwest",18.4849212206791
"26","bukitgombak",3.87120101090789
"27","bukitpanjang",33.8650793729489
"28","buonavista",38.591555046757
"29","caldecott",40.8382730888934
"30","canberra",4.15888308335967
"31","cantonment",65.5398937490275
"32","cashew",24.0381362816637
"33","chinatown",273.993273441805
"34","chinesegarden",19.4245822731279
"35","choachukang",17.9743936413239
"36","choachukangwest",10.1503476304677
"37","cityhall",285.531354045334
"38","clarkequay",200.690540922364
"39","clementi",6.35610766069589
"40","commonwealth",15.7188471794605
"41","corporation",8.63052187672324
"42","dakota",49.4858928748086
"43","dhobyghaut",309.43560092593
"44","dover",14.6217578262762
"45","downtown",87.368606292311
"46","enterprise",8.43554920237573
"47","esplanade",145.228273691111
"48","eunos",28.2180557481249
"49","expo",16.4261684130578
"50","farrerpark",98.953167240855
"51","farrerroad",16.1906023417451
"52","fortcanning",99.9231414251732
"53","gardensbythebay",6.93147180559945
"54","gekpoh",13.4544832992867
"55","geylangbahru",17.3344909752828
"56","greatworld",58.3607836420848
"57","gulcircle",0.693147180559945
"58","harbourfront",27.1647949512251
"59","havelock",65.4098303281942
"60","hawparvilla",15.3805720413535
"61","hillview",25.2916464632098
"62","hollandvillage",9.65194452670022
"63","hongkah",2.99573227355399
"64","hougang",23.9254527737969
"65","hume",13.1135567123161
"66","jalanbesar",100.734403440366
"67","jookoon",2.07944154167984
"68","jurongeast",31.2621684105832
"69","juronghill",4.969813299576
"70","jurongpier",4.39444915467244
"71","jurongtownhall",14.5318223550547
"72","jurongwest",16.9406698125577
"73","kakibukit",9.43699774259019
"74","kallang",53.7591065606156
"75","katongpark",17.5004542772246
"76","kembangan",10.7407350770698
"77","kentridge",15.1162470307225
"78","keppel",30.3803769775699
"79","khatib",3.40119738166216
"80","kimchuanundergroundmrtdepot",3.3322045101752
"81","kingalbertpark",19.4701378018223
"82","kovan",28.6687966850891
"83","kranji",2.19722457733622
"84","labradorpark",30.086311551267
"85","lakeside",10.2115603146356
"86","lavender",109.097424194382
"87","lentor",3.17805383034795
"88","littleindia",184.184776281845
"89","lorongchuan",24.2798656860513
"90","macpherson",78.0866790841419
"91","marinabay",137.507663650431
"92","marinasouth",10.3972077083992
"93","marinasouthpier",5.54517744447956
"94","marineparade",14.0058002844074
"95","marineterrace",12.5831382791166
"96","marsiling",8.78889830934488
"97","marymount",22.043608377892
"98","mattar",25.0580204232797
"99","maxwell",105.744252847894
"100","mayflower",10.8967393255464
"101","mountbatten",43.9776177788864
"102","mountpleasant",18.6755089915331
"103","nanyangcrescent",1.79175946922805
"104","nanyanggateway",2.07944154167984
"105","napier",14.5655181079533
"106","newton",100.585135616318
"107","nicollhighway",50.077921758074
"108","novena",41.754907575708
"109","one-north",14.3992624273487
"110","orchard",103.153646681829
"111","orchardboulevard",16.0286714745988
"112","outrampark",309.843656057074
"113","pandanreservoir",11.4845259904485
"114","pasirpanjang",10.7913788098886
"115","pasirris",7.39018142822643
"116","pasirriseast",5.29831736654804
"117","payalebar",67.9110372450372
"118","pengkanghill",1.09861228866811
"119","pioneer",16.6435869658212
"120","potongpasir",62.4363192840331
"121","princeedwardroad",75.4593901684249
"122","promenade",151.963984524224
"123","punggol",3.58351893845611
"124","punggolcoast",1.38629436111989
"125","queenstown",14.4115960256811
"126","rafflesplace",206.835267832941
"127","redhill",13.7264170147703
"128","rochor",103.442453641468
"129","sembawang",2.07944154167984
"130","sengkang",12.8891694902366
"131","serangoon",71.8538865343141
"132","shentonway",90.4848187266197
"133","siglap",10.317251463459
"134","simei",10.1345992734995
"135","sixthavenue",35.1088639277261
"136","somerset",155.962908237021
"137","stadium",14.3422725210286
"138","stevens",47.2750842075802
"139","sungeibedok",5.01063529409626
"140","taiseng",29.8067567991635
"141","tampines",20.2025778596571
"142","tampineseast",16.0106529690962
"143","tampineswest",12.0299677253466
"144","tanahmerah",17.5358305379125
"145","tanjongkatong",20.881032371684
"146","tanjongpagar",85.114559123873
"147","tanjongrhu",5.95064255258773
"148","tankahkee",34.788693097032
"149","tawas",5.19295685089021
"150","telokayer",116.815416898144
"151","telokblangah",15.3024824868376
"152","tengahpark",12.4653552434603
"153","tengahplantation",8.30647216010058
"154","tiongbahru",76.1921406817254
"155","toapayoh",18.3261414669261
"156","tohguan",17.8925054818513
"157","tuascrescent",1.79175946922805
"158","tuaslink",3.80666248977032
"159","tuasmrtdepot",3.80666248977032
"160","tuaswestroad",4.31748811353631
"161","tukang",5.48063892334199
"162","ubi",21.4839925899566
"163","upperchangi",10.6691414238828
"164","upperthomson",16.2342774052477
"165","woodlands",15.1450059700408
"166","woodlandssouth",4.27666611901606
"167","woodleigh",49.4584689104342
"168","xilin",4.90527477843843
"169","yewtee",2.77258872223978
"170","yiochukang",9.87508807801443
"171","yishun",5.48063892334199
